date,open,high,low,close
2025-11-20,91470.0,93080.0,85980.0,86540.0
2025-11-21,86530.0,87400.0,80520.0,85070.0
2025-11-22,85070.0,85550.0,83440.0,84680.0
2025-11-23,84680.0,88100.0,84610.0,86810.0
2025-11-24,86810.0,89230.0,85210.0,88270.0
2025-11-25,88260.0,88490.0,86070.0,87330.0
2025-11-26,87330.0,90630.0,86270.0,90470.0
2025-11-27,90470.0,91930.0,90070.0,91320.0
2025-11-28,91320.0,93160.0,90220.0,90900.0
2025-11-29,90900.0,91200.0,90200.0,90830.0
2025-11-30,90830.0,91980.0,90350.0,90370.0
2025-12-01,90360.0,90430.0,83800.0,86280.0
2025-12-02,86280.0,92340.0,86180.0,91310.0
2025-12-03,91310.0,94180.0,91020.0,93450.0
2025-12-04,93450.0,94090.0,90900.0,92090.0
2025-12-05,92090.0,92720.0,88100.0,89350.0
2025-12-06,89350.0,90300.0,88930.0,89270.0
2025-12-07,89260.0,91780.0,87730.0,90400.0
2025-12-08,90400.0,92290.0,89600.0,90650.0
2025-12-09,90650.0,94640.0,89540.0,92690.0
2025-12-10,92690.0,94500.0,91560.0,92040.0
2025-12-11,92040.0,93590.0,89260.0,92540.0
2025-12-12,92540.0,92790.0,89500.0,90280.0
2025-12-13,90280.0,90660.0,89780.0,90260.0
2025-12-14,90260.0,90500.0,87570.0,88170.0
2025-12-15,88170.0,90060.0,85130.0,86420.0
2025-12-16,86420.0,88150.0,85250.0,87850.0
2025-12-17,87850.0,90340.0,85270.0,86210.0
2025-12-18,86210.0,89450.0,84400.0,85460.0
2025-12-19,85460.0,89370.0,85050.0,88090.0
2025-12-20,88090.0,88530.0,87780.0,88220.0
