date,open,high,low,close
2025-12-17 20:00:00,85980.0,86220.0,85610.0,85860.0
2025-12-17 21:00:00,85860.0,86020.0,85630.0,85950.0
2025-12-17 22:00:00,85950.0,86400.0,85860.0,86310.0
2025-12-17 23:00:00,86310.0,86320.0,85880.0,86210.0
2025-12-18 00:00:00,86210.0,86290.0,86020.0,86200.0
2025-12-18 01:00:00,86200.0,86210.0,85820.0,86090.0
2025-12-18 02:00:00,86090.0,86850.0,85970.0,86660.0
2025-12-18 03:00:00,86660.0,86670.0,86220.0,86580.0
2025-12-18 04:00:00,86580.0,86870.0,86550.0,86730.0
2025-12-18 05:00:00,86730.0,86740.0,86350.0,86410.0
2025-12-18 06:00:00,86410.0,86630.0,86370.0,86620.0
2025-12-18 07:00:00,86610.0,86850.0,86560.0,86800.0
2025-12-18 08:00:00,86800.0,87120.0,86650.0,86940.0
2025-12-18 09:00:00,86940.0,87360.0,86760.0,87240.0
2025-12-18 10:00:00,87240.0,87420.0,87170.0,87310.0
2025-12-18 11:00:00,87310.0,87320.0,87020.0,87230.0
2025-12-18 12:00:00,87230.0,87400.0,87070.0,87220.0
2025-12-18 13:00:00,87220.0,89170.0,87210.0,88800.0
2025-12-18 14:00:00,88800.0,89450.0,87670.0,88300.0
2025-12-18 15:00:00,88300.0,89320.0,87910.0,88450.0
2025-12-18 16:00:00,88450.0,88490.0,87800.0,87950.0
2025-12-18 17:00:00,87950.0,87970.0,85410.0,86430.0
2025-12-18 18:00:00,86430.0,86840.0,85650.0,85930.0
2025-12-18 19:00:00,85930.0,85980.0,84430.0,84430.0
2025-12-18 20:00:00,84430.0,85230.0,84400.0,84560.0
2025-12-18 21:00:00,84540.0,85790.0,84520.0,85580.0
2025-12-18 22:00:00,85580.0,85710.0,85230.0,85530.0
2025-12-18 23:00:00,85530.0,85580.0,85260.0,85460.0
2025-12-19 00:00:00,85460.0,85570.0,85240.0,85560.0
2025-12-19 01:00:00,85560.0,85560.0,85050.0,85270.0
2025-12-19 02:00:00,85270.0,85890.0,85080.0,85590.0
2025-12-19 03:00:00,85600.0,87520.0,85560.0,86820.0
2025-12-19 04:00:00,86830.0,87340.0,86790.0,87040.0
2025-12-19 05:00:00,87040.0,87190.0,86610.0,87090.0
2025-12-19 06:00:00,87080.0,87430.0,86850.0,87420.0
2025-12-19 07:00:00,87430.0,88330.0,87420.0,87900.0
2025-12-19 08:00:00,87890.0,88170.0,87680.0,88040.0
2025-12-19 09:00:00,88040.0,88120.0,87840.0,88060.0
2025-12-19 10:00:00,88050.0,88270.0,87870.0,88230.0
2025-12-19 11:00:00,88230.0,88340.0,88090.0,88150.0
2025-12-19 12:00:00,88150.0,88250.0,87790.0,87810.0
2025-12-19 13:00:00,87810.0,88200.0,87750.0,87950.0
2025-12-19 14:00:00,87950.0,88490.0,87460.0,88130.0
2025-12-19 15:00:00,88120.0,89370.0,87650.0,87900.0
2025-12-19 16:00:00,87900.0,88850.0,87800.0,87920.0
2025-12-19 17:00:00,87920.0,88300.0,86790.0,86890.0
2025-12-19 18:00:00,86890.0,87420.0,86780.0,87090.0
2025-12-19 19:00:00,87090.0,88060.0,87050.0,87780.0
2025-12-19 20:00:00,87780.0,88340.0,87530.0,88020.0
2025-12-19 21:00:00,88040.0,88040.0,87740.0,87790.0
2025-12-19 22:00:00,87790.0,88380.0,87780.0,88290.0
2025-12-19 23:00:00,88290.0,88310.0,88090.0,88090.0
2025-12-20 00:00:00,88090.0,88150.0,87920.0,87970.0
2025-12-20 01:00:00,87970.0,88140.0,87970.0,88040.0
2025-12-20 02:00:00,88040.0,88280.0,87940.0,88170.0
2025-12-20 03:00:00,88170.0,88320.0,88130.0,88170.0
2025-12-20 04:00:00,88170.0,88300.0,88080.0,88260.0
2025-12-20 05:00:00,88260.0,88530.0,88230.0,88260.0
2025-12-20 06:00:00,88260.0,88420.0,88240.0,88270.0
2025-12-20 07:00:00,88270.0,88300.0,88110.0,88250.0
2025-12-20 08:00:00,88240.0,88400.0,88210.0,88210.0
2025-12-20 09:00:00,88210.0,88310.0,88180.0,88190.0
2025-12-20 10:00:00,88190.0,88240.0,88080.0,88130.0
2025-12-20 11:00:00,88130.0,88280.0,88060.0,88240.0
2025-12-20 12:00:00,88240.0,88310.0,88140.0,88200.0
2025-12-20 13:00:00,88200.0,88310.0,87780.0,88230.0
2025-12-20 14:00:00,88230.0,88240.0,87970.0,88210.0
2025-12-20 15:00:00,88210.0,88230.0,87970.0,88140.0
2025-12-20 16:00:00,88140.0,88210.0,88080.0,88120.0
2025-12-20 17:00:00,88120.0,88230.0,88060.0,88150.0
2025-12-20 18:00:00,88180.0,88390.0,88110.0,88280.0
2025-12-20 19:00:00,88280.0,88310.0,88150.0,88200.0
2025-12-20 20:00:00,88200.0,88290.0,88170.0,88250.0
2025-12-20 21:00:00,88250.0,88410.0,88120.0,88180.0
2025-12-20 22:00:00,88180.0,88310.0,88110.0,88250.0
2025-12-20 23:00:00,88250.0,88400.0,88220.0,88320.0
2025-12-21 00:00:00,88320.0,88410.0,88260.0,88360.0
2025-12-21 01:00:00,88360.0,88360.0,87980.0,87990.0
2025-12-21 02:00:00,87990.0,88130.0,87830.0,87920.0
2025-12-21 03:00:00,87920.0,88130.0,87900.0,88050.0
2025-12-21 04:00:00,88050.0,88130.0,88010.0,88050.0
2025-12-21 05:00:00,88050.0,88140.0,88030.0,88110.0
2025-12-21 06:00:00,88110.0,88180.0,88040.0,88070.0
